"County","Group","Status Detail","Platform","Search URL","Score (0-100)","Test Duration","Notes"
"Parmer","WORKING","Working — Partial Data","bis","https://esearch.parmercad.org/","65","205s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Pecos","WORKING","Working — No Results Returned","generic","http://www.pecoscad.org/","10","24s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Polk","WORKING","Working — Partial Data","bis","https://esearch.polkcad.org/","65","157s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Potter","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://www.pottercountytax.com/search","0","9s","Bot protection — may need manual lookup"
"Presidio","WORKING","Working — Partial Data","bis","https://esearch.presidiocad.org/","65","159s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Rains","WORKING","Working — Partial Data","bis","https://esearch.rainscad.org/","65","215s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Randall","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://taxpayer.randallcounty.com/taxweb/","0","179s","Bot protection — may need manual lookup"
"Reagan","WORKING","Working — No Results Returned","generic","http://www.reagancad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Real","WORKING","Working — Partial Data","bis","https://esearch.realcad.org/","65","192s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Red River","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","http://www.rrcad.org/","0","13s","Bot protection — may need manual lookup"
"Reeves","WORKING","Working — Partial Data","generic","https://www.reeves-cad.org/","60","40s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Refugio","WORKING","Working — No Results Returned","generic","http://www.refugiocad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Roberts","NETWORK ISSUE","Unreachable — Network Error","bis","http://esearch.robertscad.org/","0","2s","esearch.robertscad.org — DNS unresolved, no alternative URL exists"
"Robertson","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.robertsoncad.com/","0","9s","Bot protection — may need manual lookup"
"Rockwall","WORKING","Working — Partial Data","generic","https://www.rockwallcad.com/","60","41s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Runnels","WORKING","Working — No Results Returned","generic","http://runnelscad.org/","10","421s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Rusk","WORKING","Working — No Results Returned","generic","http://www.ruskcad.org/","10","33s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Sabine","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webIndex.aspx?dbkey=sabinecad&time=201711141513000","10","38s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"San Augustine","WORKING","Working — No Results Returned","generic","http://www.sanaugustinecad.org/","10","31s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"San Jacinto","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","http://www.sjcad.org/","0","5s","Bot protection — may need manual lookup"
"San Patricio","WORKING","Working — No Results Returned","generic","https://www.sanpatcad.org/","10","629s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"San Saba","WORKING","Working — No Results Returned","generic","https://www.sansabacad.org/","10","55s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Schleicher","WORKING","Working — Partial Data","bis","https://esearch.schleichercad.org/","65","73s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Scurry","WORKING","Working — No Results Returned","generic","http://www.scurrytex.com/","10","489s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Shackelford","WORKING","Working — Partial Data","bis","https://esearch.shackelfordcad.com/","65","197s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Shelby","WORKING","Working — Partial Data","bis","https://esearch.shelbycad.com/","65","138s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Sherman","WORKING","Working — No Results Returned","generic","http://www.shermancad.org/","10","30s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Smith","WORKING","Working — No Results Returned","generic","http://www.smithcad.org/","10","39s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Somervell","WORKING","Working — No Results Returned","publicportal","http://www.somervellcad.net/","10","281s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Starr","WORKING","Working — Partial Data","bis","https://esearch.starrcad.org/","65","138s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Stephens","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=stephenscad&time=201702161541000","10","37s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Sterling","WORKING","Working — No Results Returned","generic","http://www.sterlingcad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Stonewall","WORKING","Working — No Results Returned","generic","http://www.stonewallcad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Sutton","WORKING","Working — Partial Data","bis","https://esearch.suttoncad.com/","65","187s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Swisher","WORKING","Working — No Results Returned","generic","http://www.swisher-cad.org/","10","208s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Tarrant","WORKING","Working — No Results Returned","bis","https://esearch.tarrantcad.org/","10","608s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Taylor","WORKING","Working — Partial Data","bis","https://esearch.taylor-cad.org/","65","155s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Terrell","WORKING","Working — Partial Data","bis","https://esearch.terrellcad.org/","65","176s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Terry","WORKING","Working — No Results Returned","bis","https://esearch.terrycoad.org/","10","494s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Throckmorton","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.throckmortoncad.org/","0","5s","Bot protection — may need manual lookup"
"Titus","WORKING","Working — Partial Data","bis","https://esearch.titus-cad.org/","65","167s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Tom Green","WORKING","Working — No Property ID Found","generic","http://tomgreentx.countygovernmentrecords.com/TomGreenTXRecorder/web/","30","157s","Site reachable; failed to extract parcel/account ID from results"
"Travis","WORKING","Working — No Results Returned","generic","https://www.traviscad.org/propertysearch","10","375s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Trinity","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.trinitycad.net/","0","10s","Bot protection — may need manual lookup"
"Tyler","WORKING","Working — No Results Returned","publicportal","http://www.tylercad.net/","10","250s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Upshur","WORKING","Working — Partial Data","bis","https://esearch.upshur-cad.org/","65","137s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Upton","WORKING","Working — No Results Returned","generic","http://uptoncad.org/","10","36s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Uvalde","WORKING","Working — Partial Data","bis","https://esearch.uvaldecad.org/","65","203s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Val Verde","WORKING","Working — Partial Data","publicportal","https://www.valverdecad.org/property-search","60","40s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Van Zandt","WORKING","Working — Partial Data","publicportal","http://vzcad.org/","60","43s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Victoria","WORKING","Working — Partial Data","bis","https://esearch.victoriacad.org/","65","141s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Walker","WORKING","Working — Partial Data","bis","https://esearch.walkercad.org/","70","203s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Waller","WORKING","Working — No Results Returned","bis","https://esearch.wallercad.org/","10","333s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Ward","WORKING","Working — No Results Returned","generic","http://www.wardcad.org/","10","32s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Washington","WORKING","Working — Partial Data","bis","https://esearch.washingtoncad.org/","65","179s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Webb","WORKING","Working — Partial Data","publicportal","https://www.webbcad.org/property-search","60","37s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Wharton","WORKING","Working — No Results Returned","bis","https://esearch.whartoncad.net/","10","317s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Wheeler","WORKING","Working — No Results Returned","generic","http://www.wheelercad.org/","10","38s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Wichita","WORKING","Working — Partial Data","bis","https://esearch.wadtx.com","65","162s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Wilbarger","WORKING","Working — No Results Returned","ptaxpro","https://www.wilbargercad.org/","10","21s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Willacy","WORKING","Working — Partial Data","bis","https://esearch.willacycad.org/","65","141s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Williamson","WORKING","Working — No Results Returned","generic","https://search.wcad.org/","10","50s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Wilson","WORKING","Working — Partial Data","bis","https://esearch.wilson-cad.org/","65","144s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Winkler","WORKING","Working — No Results Returned","generic","https://winklercad.org/","10","41s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Wise","WORKING","Working — Partial Data","bis","https://esearch.wise-cad.com/","65","145s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Wood","WORKING","Working — Partial Data","bis","https://esearch.woodcad.net/","65","135s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Yoakum","WORKING","Working — Partial Data","bis","https://esearch.yoakumcad.org/","65","142s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Young","WORKING","Working — Partial Data","bis","https://esearch.youngcad.org/","65","183s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Zapata","WORKING","Working — Partial Data","bis","https://esearch.zapatacad.com","65","187s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Zavala","WORKING","Working — Partial Data","bis","https://esearch.zavalacad.com/","65","189s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
